trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
Morning Service_T01,05:50:00,05:50:00,139,1,South Cumberland,,,0
Morning Service_T01,,,137,2,South Cumberland,3,3,0.557
Morning Service_T01,05:53:00,05:53:00,134,3,South Cumberland,,,1.006
Morning Service_T01,,,111,4,South Cumberland,3,3,1.302
Morning Service_T01,,,112,5,South Cumberland,3,3,2.184
Morning Service_T01,05:56:00,05:56:00,108,6,South Cumberland,,,2.478
Morning Service_T01,,,32,7,Willowbrook Road,3,3,3.987
Morning Service_T01,06:05:00,06:05:00,1,8,Willowbrook Road,,,4.437
Morning Service_T01,,,29,9,Willowbrook Road,3,3,5.673
Morning Service_T01,,,30,10,Willowbrook Road,3,3,5.817
Morning Service_T01,06:09:00,06:09:00,27,11,Willowbrook Road,,,5.963
Morning Service_T01,,,25,12,Willowbrook Road,3,3,6.6
Morning Service_T01,,,24,13,Willowbrook Road,3,3,6.724
Morning Service_T01,,,22,14,Downtown Cumberland,3,3,7.158
Morning Service_T01,06:14:00,06:14:00,17,15,Downtown Cumberland,,,8.77
Morning Service_T01,06:17:00,06:17:00,18,16,Downtown Cumberland,,,9.48
Morning Service_T01,,,19,17,Downtown Cumberland,3,3,10.469
Morning Service_T01,,,23,18,Downtown Cumberland,3,3,11.569
Morning Service_T01,,,26,19,Downtown Cumberland,3,3,11.707
Morning Service_T01,06:23:00,06:23:00,27,20,Downtown Cumberland,,,12.558
Morning Service_T01,,,28,21,Downtown Cumberland,3,3,12.677
Morning Service_T01,06:25:00,06:25:00,1,22,Downtown Cumberland,,,13.182
Morning Service 2_T01,06:25:00,06:25:00,1,1,LaVale via US 40,,,0
Morning Service 2_T01,,,192,2,LaVale via US 40,3,3,0.824
Morning Service 2_T01,,,34,3,LaVale via US 40,3,3,1.17
Morning Service 2_T01,06:30:00,06:30:00,35,4,LaVale via US 40,,,1.595
Morning Service 2_T01,,,36,5,LaVale via US 40,3,3,1.963
Morning Service 2_T01,06:33:00,06:33:00,37,6,LaVale via US 40,3,3,3.11
Morning Service 2_T01,,,38,7,LaVale via US 40,3,3,4.287
Morning Service 2_T01,,,39,8,LaVale via US 40,3,3,4.487
Morning Service 2_T01,06:40:00,06:40:00,40,9,LaVale via US 40,3,3,5.621
Morning Service 2_T01,,,41,10,LaVale via US 40,3,3,5.748
Morning Service 2_T01,,,42,11,LaVale via US 40,3,3,6.102
Morning Service 2_T01,,,43,12,LaVale via US 40,3,3,6.262
Morning Service 2_T01,,,44,13,LaVale via US 40,3,3,6.542
Morning Service 2_T01,06:42:00,06:42:00,45,14,LaVale via US 40,,,6.717
Morning Service 2_T01,,,46,15,LaVale via US 40,3,3,7.103
Morning Service 2_T01,,,47,16,LaVale via US 40,3,3,7.516
Morning Service 2_T01,,,48,17,LaVale via US 40,3,3,8.086
Morning Service 2_T01,06:45:00,06:45:00,49,18,LaVale via US 40,,,8.976
Morning Service 2_T01,,,50,19,LaVale via US 40,3,3,9.078
Morning Service 2_T01,,,51,20,LaVale via US 40,3,3,9.344
Morning Service 2_T01,,,52,21,LaVale via US 40,3,3,9.686
Morning Service 2_T01,,,53,22,LaVale via US 40,3,3,9.795
Morning Service 2_T01,,,54,23,LaVale via US 40,3,3,10.363
Morning Service 2_T01,,,55,24,LaVale via US 40,3,3,10.553
Morning Service 2_T01,06:48:00,06:48:00,56,25,LaVale via US 40,,,11.45
Morning Service 2_T01,,,57,26,Walmart,3,3,11.518
Morning Service 2_T01,,,58,27,Walmart,3,3,11.631
Morning Service 2_T01,,,59,28,Walmart,3,3,11.994
Morning Service 2_T01,,,60,29,Walmart,3,3,12.164
Morning Service 2_T01,,,61,30,Walmart,3,3,12.825
Morning Service 2_T01,06:50:00,06:50:00,62,31,Frostburg via I-68,,,13.449
Morning Service 2_T01,,,63,32,Frostburg via I-68,3,3,13.541
Morning Service 2_T01,07:12:00,07:12:00,160,33,Frostburg via I-68,,,26.657
Morning Service 2_T01,,,169,34,Walmart,3,3,29.338
Morning Service 2_T01,,,170,35,Walmart,3,3,29.511
Morning Service 2_T01,07:20:00,07:20:00,171,36,Walmart,,,29.592
Morning Service 2_T01,,,158,37,Walmart,3,3,30.223
Morning Service 2_T01,,,172,38,Walmart,3,3,30.663
Morning Service 2_T01,07:26:00,07:26:00,156,39,Walmart,,,31.683
Morning Service 2_T01,07:35:00,07:35:00,62,40,Cresapton/Cumberland,,,43.398
Morning Service 2_T01,,,64,41,Cresapton/Cumberland,3,3,44.27
Morning Service 2_T01,07:39:00,07:39:00,65,42,Cresapton/Cumberland,3,3,45.358
Morning Service 2_T01,,,66,43,Cresapton/Cumberland,3,3,46.727
Morning Service 2_T01,,,67,44,Cresapton/Cumberland,3,3,46.978
Morning Service 2_T01,,,68,45,Cresapton/Cumberland,3,3,47.511
Morning Service 2_T01,,,69,46,Cresapton/Cumberland,3,3,47.891
Morning Service 2_T01,,,70,47,Cresapton/Cumberland,3,3,48.138
Morning Service 2_T01,,,71,48,Cresapton/Cumberland,3,3,48.432
Morning Service 2_T01,,,72,49,Cresapton/Cumberland,3,3,48.532
Morning Service 2_T01,,,73,50,Cresapton/Cumberland,3,3,48.967
Morning Service 2_T01,,,74,51,Cresapton/Cumberland,3,3,49.502
Morning Service 2_T01,,,75,52,Cresapton/Cumberland,3,3,49.736
Morning Service 2_T01,,,76,53,Cresapton/Cumberland,3,3,50.819
Morning Service 2_T01,07:45:00,07:45:00,77,54,Cresapton/Cumberland,,,51.263
Morning Service 2_T01,,,78,55,Cresapton/Cumberland,3,3,52.843
Morning Service 2_T01,,,79,56,Cresapton/Cumberland,3,3,53.503
Morning Service 2_T01,07:52:00,07:52:00,81,57,Cumberland,,,56.216
Morning Service 2_T01,,,85,58,Cumberland,3,3,56.555
Morning Service 2_T01,,,83,59,Cumberland,3,3,56.705
Morning Service 2_T01,,,84,60,Cumberland,3,3,57.179
Morning Service 2_T01,,,86,61,Cumberland,3,3,57.537
Morning Service 2_T01,,,89,62,Cumberland,3,3,57.625
Morning Service 2_T01,,,92,63,Cumberland,3,3,57.714
Morning Service 2_T01,,,90,64,Cumberland,3,3,57.997
Morning Service 2_T01,,,91,65,Cumberland,3,3,58.6
Morning Service 2_T01,08:00:00,08:00:00,1,66,Cumberland,,,59.029
Morning Service 3_T01,08:00:00,08:00:00,1,1,LaVale Express via Dingle & I-68,,,0
Morning Service 3_T01,08:05:00,08:05:00,87,2,LaVale Express via Dingle & I-68,,,2.25
Morning Service 3_T01,,,88,3,LaVale Express via Dingle & I-68,3,3,2.36
Morning Service 3_T01,08:08:00,08:08:00,89,4,LaVale Express via Dingle & I-68,,,3.398
Morning Service 3_T01,,,92,5,LaVale Express via Dingle & I-68,3,3,3.486
Morning Service 3_T01,08:10:00,08:10:00,82,6,LaVale Express via Dingle & I-68,,,4.739
Morning Service 3_T01,,,193,7,LaVale Express via Dingle & I-68,3,3,4.784
Morning Service 3_T01,,,54,8,LaVale Express via Dingle & I-68,3,3,10.669
Morning Service 3_T01,08:15:00,08:15:00,148,9,LaVale Express via Dingle & I-68,,,11.125
Morning Service 3_T01,08:18:00,08:18:00,149,10,Downtown Cumberland,,,12.239
Morning Service 3_T01,,,55,11,Downtown Cumberland,3,3,13.679
Morning Service 3_T01,,,60,12,Downtown Cumberland,3,3,14.862
Morning Service 3_T01,,,61,13,Downtown Cumberland,3,3,15.54
Morning Service 3_T01,08:25:00,08:25:00,62,14,Downtown Cumberland,,,16.164
Morning Service 3_T01,08:30:00,08:30:00,1,15,Downtown Cumberland,,,25.116
Red 1_T01,07:30:00,07:30:00,1,1,Willowbrook Road,,,0
Red 1_T01,,,2,2,Willowbrook Road,3,3,0.528
Red 1_T01,,,3,3,Willowbrook Road,3,3,0.754
Red 1_T01,,,4,4,Willowbrook Road,3,3,1.372
Red 1_T01,,,5,5,Willowbrook Road,3,3,1.637
Red 1_T01,07:35:00,07:35:00,6,6,Willowbrook Road,,,1.817
Red 1_T01,,,7,7,Willowbrook Road,3,3,1.962
