stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone
177,,7 Eleven,Stop located on sidewalk in front of 7-Eleven,39.655791,-78.925178,,,0,,,
160,,"Active Network, Inc",Stop located in business park front loop.,39.64136,-78.94262,,,0,,,
29,,Adams Family Funeral Home,On Decatur St.,39.655876,-78.759955,,,0,,,
18,,Allegany College of Maryland,Front loop of college near flag poles and fountain,39.651533,-78.729864,,,0,,,
16,,Allegany County Health Department,Front Doors of Allegany County Health Department,39.647778,-78.731074,,,0,,,
73,,Allegany Detention Center,Stop along side of McMullen Hwy,39.599509,-78.824705,,,0,,,
161,,Annapolis Hall,Stop located along University Dr,39.651487,-78.935024,,,0,,,
174,,Appalachian Lab,Stop located along Midlothian Rd,39.64228,-78.93906,,,0,,,
25,,Baltimore Ave & Marion St,,39.657399,-78.751617,,,0,,,
23,,Baltimore Ave & Shades Ln,,39.657596,-78.75015,,,0,,,
24,,Baltimore Ave & Shades Ln,Please stand on the side of the street opposite Shades Ln for pick up.,39.657482,-78.750163,,,0,,,
26,,Baltimore Ave & Yale St,,39.657503,-78.751743,,,0,,,
93,,Banneker Gardens,Stop  on opposite side of Frederick St from Banneker Garden,39.657015,-78.759377,,,0,,,
98,,Bedford Rd & Acre Ln (VFD),,39.70507,-78.71361,,,0,,,
106,,Bedford Rd & Azalea Ln,,39.70004,-78.71932,,,0,,,
103,,Bedford Rd & Growdenvale Dr,,39.69383,-78.72568,,,0,,,
105,,Bedford Rd & Meders Ln,,39.69993,-78.71928,,,0,,,
192,,Bedford St & Centre St,,39.65322,-78.76244,,,0,,,
190,,Bedford St & Conrad Ave,,39.6647,-78.75523,,,0,,,
188,,Bedford St & Edward Ave,,39.675346,-78.743208,,,0,,,
189,,Bedford St & Forster Ave,Stop on sidewalk opposite to Forester St,39.67057,-78.75032,,,0,,,
191,,Bedford St & Marietta St,,39.659912,-78.758868,,,0,,,
86,,Blind Industries and Services,Stop located on corner of Walnut St and Paca St,39.649296,-78.771372,,,0,,,
173,,Bowery St & College Ave,,39.65134,-78.92731,,,0,,,
159,,Bowery St & Paul St,Bus shelter near Bowery St and Paul St intersection,39.65375,-78.92521,,,0,,,
78,,Bowling Greene Fire Department,Stop along side of McMullen Hwy,39.62478,-78.80569,,,0,,,
56,,Braddock Square (Gabriel's),In Braddock Square,39.633024,-78.841187,,,0,,,
170,,Broadway & Main St,,39.657294,-78.928222,,,0,,,
169,,Broadway General Store,Opposite Frostburg Police Station,39.656284,-78.92967,,,0,,,
15,,Brook Building,Side building to the Allegany County Health Department,39.646509,-78.73029,,,0,,,
59,,Buffalo Wild Wings,previously ponderosa,39.629756,-78.837847,,,0,,,
43,,Bunnie's Restaurant,,39.657168,-78.808137,,,0,,,
124,,Burger King,Stop located along Industrial Blvd,39.629944,-78.746465,,,0,,,
128,,Cascades,Stop located near Fourth St entrance of Cascades,39.633055,-78.754889,,,0,,,
32,,Centre St & Baltimore St,Bus Shelter on the Corner of Baltimore St & Centre St,39.651533,-78.761104,,,0,,,
36,,Centre St & Franklin St,Opposite High Point Furniture.,39.658952,-78.773154,,,0,,,
35,,Centre St & Valley St,Near Pharmacare of Cumberland,39.657528,-78.769281,,,0,,,
34,,Centre St United Methodist Church,Centre St before Viaduct and Queen City Dr intersection.,39.655516,-78.765133,,,0,,,
3,,Chick-fil-A,Corner of Park St and Williams St.,39.64828,-78.757277,,,0,,,
84,,Children's Medical Group,Stop located on sidewalk on Greene St,39.650607,-78.773949,,,0,,,
118,,Circle K,Stop located along Oldtown Rd,39.637139,-78.748753,,,0,,,
151,,Clarysville Motel,Stop located along National Hwy- not in motel parking lot,39.64303,-78.88783,,,0,,,
165,,College Ave & Maple St,Stop located on the corner of Maple St and College Ave near Highway Pizza,39.653401,-78.930008,,,0,,,
167,,College Ave & Water St,,39.655361,-78.932272,,,0,,,
166,,College Ave Lot,Stop located near Lowndes Hall at bus shelter,39.652972,-78.93074,,,0,,,
163,,Cordts PE Center Shelter,"Stop located in loop of Hitchens, Pullen and the PE Center",39.648902,-78.933179,,,0,,,
61,,Country Club Mall Theaters,,39.627197,-78.833816,,,0,,,
21,,Country Club Rd & Amber Dr,,39.657216,-78.739209,,,0,,,
70,,Cresaptown Eagles,On sidewalk in front of Cresaptown Eagles near Sheetz,39.594338,-78.831225,,,0,,,
72,,Cresaptown Post Office,On McMullen Hwy in front of Post Office,39.596266,-78.82736,,,0,,,
2,,Cumberland Post Office,On sidewalk in front of Post Office,39.650264,-78.757021,,,0,,,
