route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
Morning,mtwtf,Morning Service_T01,Morning Service,0,1001,Morning 1
Morning,mtwtf,Morning Service 2_T01,Morning Service,0,1001,Morning 2
Morning,mtwtf,Morning Service 3_T01,Morning Service,0,1001,Morning 3
Red 1,mtwtf,Red 1_T01,Red Line Loop 1,0,1006,Red 1
Red 1,mtwtf,Red 1_T02,Red Line Loop 1,0,1006,Red 1
Red 1,mtwtf,Red 1_T03,Red Line Loop 1,0,1006,Red 1
Red 1,mtwtf,Red 1_T04,Red Line Loop 1,0,1006,Red 1
Red 1,mtwtf,Red 1_T05,Red Line Loop 1,0,1006,Red 1
Red 1,mtwtf,Red 1_T06,Red Line Loop 1,0,1006,Red 1
Red 1,mtwtf,Red 1_T07,Red Line Loop 1,0,1006,Red 1
Red 1,mtwtf,Red 1_T08,Red Line Loop 1,0,1006,Red 1
Red 2,mtwtf,Red 2_T01,Red Line Loop 2,0,1006,Red 2
Red 2,mtwtf,Red 2_T02,Red Line Loop 2,0,1006,Red 2
Red 2,mtwtf,Red 2_T03,Red Line Loop 2,0,1006,Red 2
Red 2,mtwtf,Red 2_T04,Red Line Loop 2,0,1006,Red 2
Red 2,mtwtf,Red 2_T05,Red Line Loop 2,0,1006,Red 2
Red 2,mtwtf,Red 2_T06,Red Line Loop 2,0,1006,Red 2
Red 2,mtwtf,Red 2_T07,Red Line Loop 2,0,1006,Red 2
Green 1,mtwtf,Green 1_T01,Green Line Loop 1,0,1004,Green 1
Green 1,mtwtf,Green 1_T02,Green Line Loop 1,0,1004,Green 1
Green 1,mtwtf,Green 1_T03,Green Line Loop 1,0,1004,Green 1
Green 1,mtwtf,Green 1_T04,Green Line Loop 1,0,1004,Green 1
Green 1,mtwtf,Green 1_T05,Green Line Loop 1,0,1004,Green 1
Green 2,mtwtf,Green 2 am_T01,Green Line Loop 2,0,1004,Green 2_am
Green 2,mtwtf,Green 2A_T01,Green Line Loop 2,0,1004,Green 2A
Green 2,mtwtf,Green 2B_T01,Green Line Loop 2,0,1004,Green 2B
